latitude,longitude,ext_id,emitted_lux_level,postcode,locality
-37.81988600033143,144.94799600023066,105717,19.355,3005,WORLD TRADE CENTRE
-37.81988900005356,144.94799800063205,105716,20.039,3005,WORLD TRADE CENTRE
-37.81989200005639,144.94800099959724,105715,21.701,3005,WORLD TRADE CENTRE
-37.81989499977844,144.948002999999,105714,25.513,3005,WORLD TRADE CENTRE
-37.81989799980093,144.9480060001001,105713,30.205,3005,WORLD TRADE CENTRE
-37.81990099952289,144.9480080005022,105712,36.266,3005,WORLD TRADE CENTRE
-37.81990300013191,144.9480109998823,105711,46.921,3005,WORLD TRADE CENTRE
-37.81990599985381,144.94801300028476,105710,50.244,3005,WORLD TRADE CENTRE
-37.81990899987607,144.9480160003867,105709,53.666,3005,WORLD TRADE CENTRE
-37.8199119995781,144.94801799965404,105708,61.29,3005,WORLD TRADE CENTRE
-37.819914999600236,144.9480209997564,105707,74.194,3005,WORLD TRADE CENTRE
-37.819918000222714,144.9480230001346,105706,78.495,3005,WORLD TRADE CENTRE
-37.81992100024475,144.94802600023743,105705,92.18,3005,WORLD TRADE CENTRE
-37.81992299995258,144.94802899964378,105704,99.316,3005,WORLD TRADE CENTRE
-37.8199259996742,144.94803100004748,105703,99.316,3005,WORLD TRADE CENTRE
-37.81992900029653,144.9480330004264,105702,99.316,3005,WORLD TRADE CENTRE
-37.81993200031831,144.94803600053004,105701,99.316,3005,WORLD TRADE CENTRE
-37.81993500002004,144.94803799979877,105700,99.316,3005,WORLD TRADE CENTRE
-37.81993799974151,144.94804000020312,105699,99.316,3005,WORLD TRADE CENTRE
-37.81994099976315,144.94804300030742,105698,99.316,3005,WORLD TRADE CENTRE
-37.819944000365496,144.94804499955168,105697,99.316,3005,WORLD TRADE CENTRE
-37.81994700008686,144.94804699995657,105696,99.316,3005,WORLD TRADE CENTRE
-37.81995000010833,144.94805000006153,105695,99.316,3005,WORLD TRADE CENTRE
-37.81995299982962,144.94805200046676,105694,99.316,3005,WORLD TRADE CENTRE
-37.819955999531096,144.94805399973666,105693,99.316,3005,WORLD TRADE CENTRE
-37.8199589995524,144.94805699984224,105692,99.316,3005,WORLD TRADE CENTRE
-37.81996200017432,144.94805900022305,105691,99.316,3005,WORLD TRADE CENTRE
-37.819963999881374,144.94806199963193,105690,99.316,3005,WORLD TRADE CENTRE
-37.8199660002089,144.9480640004514,105689,99.316,3005,WORLD TRADE CENTRE
-37.81996799991584,144.9480669998606,105688,99.316,3005,WORLD TRADE CENTRE
-37.8199700002235,144.94806899954483,105687,99.316,3005,WORLD TRADE CENTRE
-37.819973000244445,144.94807199965157,105686,99.316,3005,WORLD TRADE CENTRE
-37.81997499967105,144.9480740004965,105685,99.316,3005,WORLD TRADE CENTRE
-37.81997700027851,144.94807699988135,105684,99.316,3005,WORLD TRADE CENTRE
-37.819978999685254,144.94807899959105,105683,90.714,3005,WORLD TRADE CENTRE
-37.81998199970596,144.94808199969856,105682,83.187,3005,WORLD TRADE CENTRE
-37.819984000333,144.94808500021938,105681,79.179,3005,WORLD TRADE CENTRE
-37.819985999739636,144.94808699992947,105680,67.937,3005,WORLD TRADE CENTRE
-37.81998800036656,144.94809000045066,105679,54.741,3005,WORLD TRADE CENTRE
-37.81999100006743,144.948091999723,105678,47.019,3005,WORLD TRADE CENTRE
-37.8199929997935,144.94809500026943,105677,39.687,3005,WORLD TRADE CENTRE
-37.8199959994943,144.94809699954214,105676,35.973,3005,WORLD TRADE CENTRE
-37.81999800012098,144.94810000006396,105675,35.288,3005,WORLD TRADE CENTRE
-37.820000999841504,144.94810200047246,105674,34.409,3005,WORLD TRADE CENTRE
-37.82000399986167,144.94810500058176,105673,35.191,3005,WORLD TRADE CENTRE
-37.82000600016872,144.948107000268,105672,35.777,3005,WORLD TRADE CENTRE
-37.820009000188755,144.9481100003777,105671,38.905,3005,WORLD TRADE CENTRE
-37.82001099959499,144.9481120000891,105670,44.184,3005,WORLD TRADE CENTRE
-37.820013999614915,144.94811500019927,105669,46.432,3005,WORLD TRADE CENTRE
-37.820016000221386,144.94811799958683,105668,54.741,3005,WORLD TRADE CENTRE
-37.820018999941624,144.94811999999652,105667,65.396,3005,WORLD TRADE CENTRE
-37.82002099966702,144.94812300054485,105666,69.501,3005,WORLD TRADE CENTRE
-37.82002400026812,144.94812499979446,105665,82.698,3005,WORLD TRADE CENTRE
-37.820025999993405,144.9481280003431,105664,96.774,3005,WORLD TRADE CENTRE
